#DeCS_code	Term_Spanish	Synonyms
25053	cloración del agua	Cloración (Salud Ambiental)|Cloración del Agua|cloración (salud ambiental)
25054	cloración al punto de ruptura	Cloración a Punto de Quiebre|cloración al punto de quiebra
25055	cloradores	Cloradores|dispositivos de cloración|equipos de cloración
25056	cloro combinado	Cloro Combinado
25057	cloro libre	Cloro Libre
25058	cloro residual	Cloro Residual
25059	cloro total	Cloro Total
25060	coagulación (tratamiento del agua)	Coagulación (Tratamiento del Agua)
25062	coeficiente de escorrentía	Altura de Escorrentía|Coeficiente de Escorrentía
25063	colimetría	Análisis de Coliformes|Análisis de E coli|Análisis de Escherichia coli|Análisis de la Concentración de Coliformes|Análisis de la Concentración de E coli|Análisis de la Concentración de Escherichia coli|Colimetría|Medición de Coliformes|Medición de E coli|Medición de la Concentración de Coliformes|Medición de la Concentración de E coli|Medición de la Concentración de Escherichia coli
25064	color del agua	Color del Agua
25065	columna de contacto	Columnas de Contacto|Columnas de Filtración
25066	combustión de lodos	Combustión de Lodos|Incineración de Lodos
25068	compactación	Compactación|Reducción de Volumen
25071	compostaje	Abono Compuesto|Compostado|Compostaje|compost|compostado|compostificación
25072	compuertas	Compuertas
25073	condensación	Condensación
25079	cono de dilución	Cono de Dilución
25081	construcciones hidráulicas	Construcciones Hidráulicas
25082	construcciones marítimas	Construcciones Marítimas
25083	consumo doméstico de agua	Agua Doméstica|Consumo Doméstico de Agua
25084	consumo industrial de agua	Consumo Industrial de Agua
25085	consumo no contabilizado de agua	Consumo no Contabilizado de Agua
25086	consumo publico de agua	Consumo Público de Agua
25087	contaminación de costas	Contaminación Costera|Contaminación de Aguas Costeras|Contaminación de Costas|Contaminación del Litoral
25088	contaminación de aguas subterráneas	Contaminación de Aguas Subterráneas
25089	contaminación de estuarios	Contaminación de Esteros y Estuarios
25090	contaminación de playas	Contaminación de Playas
25091	contaminación de ríos	Contaminación Fluvial|Contaminación de Ríos
25092	contaminación de las aguas marinas	Contaminación Marina|Contaminación Oceánica|Contaminación del Mar
25093	contaminantes biológicos	Contaminantes Biológicos
25094	contaminantes conservativos	Contaminantes Conservativos|Contaminantes Persistentes|Contaminantes no Biodegradables|contaminantes no biodegradables|contaminantes no reactivos|contaminantes persistentes
25095	contaminantes gaseosos	Contaminantes Gaseosos|gases contaminantes
25096	contaminantes gaseosos carbonados	Contaminantes Gaseosos Carbonados|hidrocarburos gaseosos
25097	contaminantes gaseosos nitrogenados	Contaminantes Gaseosos Nitrogenados
25098	contaminantes halogenados	Contaminantes Halogenados
25099	contaminantes industriales	Contaminantes Industriales|Emanaciones Industriales|Fuentes Industriales|emanaciones industriales|emisiones industriales|fuentes industriales
25100	contaminantes inorgánicos	Contaminantes Inorgánicos
25101	contaminantes orgánicos	Contaminantes Orgánicos
25102	contaminantes químicos	Contaminantes Químicos
25103	recuento de partículas	Conteo de Partículas
25104	recuento en placa estándar	Conteo en Placa Standard
25105	control analítico de calidad	Control Analítico de Calidad
25106	control de calidad del agua	Control de Calidad del Agua|Control de la Calidad del Agua|control de la calidad del agua
25107	control de la calidad del aire	Control de Calidad del Aire|Control de la Calidad del Aire|Control de la Contaminación del Aire|control de calidad del aire|control de la contaminación del aire
25108	control de la evaporación	Control de Evaporación
25113	corrientes cálidas	Corrientes Cálidas
25114	corrientes cerradas	Corrientes Cerradas|Flujo en Canales Abiertos
25115	corrientes costeras	Corrientes Costeras
25116	corrientes de agua	Corrientes de Agua|Cursos de Agua|cursos de agua
25117	corrientes frías	Corriente de Humboldt|Corrientes Frías|corriente de Humboldt
25118	corrientes marinas	Corrientes Marinas
25119	flujo de aguas subterráneas	Flujo de Aguas Subterráneas
25120	corrientes superficiales	Corrientes Superficiales
25121	costas (litoral)	Costa|Costas (Litoral)|Litoral|Línea Costera|Orilla del Mar|Zona Costera|Zonas Costeras|litoral|línea costera|zona costera|zonas costeras|Áreas Costeras|áreas costeras
25122	crecimiento bacteriano	Crecimiento Bacteriano|Fases de la Proliferación Bacteriana|Fases del Crecimiento Bacteriano|fases de la proliferación bacteriana|fases del crecimiento bacteriano
25123	cribado de líquidos	Cernido de Líquidos|Cribado de Líquidos|Separación con Cedazo|Tamización de Líquidos|Tamizado de Líquidos|Tamizaje de Líquidos|tamizado de líquidos
25124	criterios de calidad del aire	Criterios de Calidad del Aire
25125	criterios de calidad del suelo	Criterios de Calidad del Suelo
25126	cromatógrafos de gases	Cromatógrafos de Gases
25127	cuencas	Cuencas|Hoyas|captación
25128	cuencas compartidas	Cuencas Compartidas
25129	cuencas fluviales	Cuencas Fluviales|Cuencas de Drenaje|cuencas de drenaje
25130	cuencas hidrográficas	Cuenca Hidrográfica|Cuencas Hidrográficas|Hoyas Hidrográficas|cuenca hidrográfica
25131	cuencas lacustres	Cuencas Lacustres
25135	demanda de agua	Demanda de Agua|Necesidad de Agua
25136	demanda de cloro	Demanda de Cloro
25139	derechos de aguas	Código de Aguas|Derecho al Agua|Derecho de Aguas|códigos de aguas|derecho al agua
25140	contaminación por petróleo	Contaminación por Petróleo|Contaminación por Óleo|Derrames de Petróleo|Derrames de Óleo|Marea Negra|Polución por Petróleo|Polución por Óleo|derrames de petróleo|vertidos de petróleo
25141	desarenado	Desarenadores
25142	descarbonatación	Descarbonatación
25143	vertido de lodos al mar	Descarga de Lodos al Mar|Vertido de Lodos al Mar
25144	vertido de residuos sólidos	Descarga de Residuos Sólidos
25147	desgasificación	Desgasificación
25149	deshidratación de lodos	Deshidratación de Lodos|Secado de Lodos
25150	trituradoras	Desmenuzadores
25151	desmineralización	Desmineralización
25152	desperdicio de agua	Desperdicio de Agua
25153	destilación	Destilación
25154	destilación solar	Destilación Solar
25155	destiladores	Destiladores
25156	difusores	Difusores
25157	digestión aerobia	Descomposición Aerobia|Digestión Aerobia|Proceso Aerobio|Trabajo Aerobio|degradación aerobia|descomposición aerobia|proceso aerobio|trabajo aerobio
25158	digestión anaerobia	Descomposición Anaerobia|Digestión Anaerobia|Proceso Anaerobio|Trabajo Anaerobio|degradación anaerobia|descomposición anaerobia|proceso anaerobio
25160	digestión anaerobia de alta carga	Digestión Anaerobia de Alta Carga
25161	digestión de lodos	Digestión de Lodos
25162	digestores	Digestores
25163	dilución de descargas	Dilución de Descargas
25165	discos rotatorios	Biodiscos|Discos Biológicos|Discos Rotatorios|biodiscos|discos biológicos
25166	difusión energética	Disipación de la Energía
25168	dispersión de contaminantes	Dispersión de Contaminantes|Propagación de Contaminantes
25170	espesamiento por flotación	Espesamiento por Flotación
25171	espesamiento por gravedad	Espesamiento por Gravedad
25172	estaciones de bombeo	Estaciones Elevadoras|Estaciones Elevadoras de Agua|Estaciones de Bombeo|Estaciones de Bombeo de Agua|Estaciones de Bombeo de Agua Cruda|Estación Elevadora|Estación Elevadora de Agua|Estación de Bombeo|Estación de Bombeo de Agua|Estación de Bombeo de Agua Cruda|Planta Elevadora|Plantas Elevadoras|estaciones de bombeo de agua|estaciones de bombeo de agua cruda|estaciones elevadoras|estaciones elevadoras de agua|estación de bombeo|estación de bombeo de agua|estación de bombeo de agua cruda|estación elevadora|estación elevadora de agua|planta elevadora|plantas elevadoras
25173	estaciones de monitorización	Estaciones de Monitoreo|Estaciones de Monitorización|centros de control|estaciones de control
25174	estaciones de transferencia	Estaciones de Transferencia|Plantas de Transferencia|Puntos de Transferencia|plantas de transferencia|puntos de transferencia
25175	estaciones hidrológicas	Estaciones Hidrológicas
25176	estadísticas hidrológicas	Datos Hidrológicos|Estadísticas Hidrológicas|Mediciones Hidrológicas|datos hidrológicos|mediciones hidrológicas
25177	estanques	Estanques
25179	evaporación	Evaporación
25180	evapotranspiración	Evapotranspiración
25181	excavaciones bajo el agua	Excavaciones Bajo el Agua
25182	excavaciones del terreno	Excavaciones en Terreno
25184	facturación	Facturación
25185	fauna acuática	Animales Acuáticos|Fauna Acuática|animales acuáticos
25186	fauna béntica	Bentos|Endobentos|Epibentos|Fauna Béntica|Macrobentos|Microbentos|Nectobentos|Organismos Bénticos|Zoobentos|bentos|endobentos|epibentos|macrobentos|microbentos|nectobentos|organismos bénticos|zoobentos
25187	fauna marina	Animales Marinos|Fauna Marina|animales marinos
25189	filtración aerobia	Filtración Aerobia
25190	filtración anaerobia	Filtración Anaerobia
25191	filtración ascendente	Filtración Ascendente
25192	filtración con diatomeas	Filtración con Diatomeas
25193	filtrado de aire	Filtración del Aire
25194	filtración descendente	Filtración Descendente
25195	filtración dinámica	Filtración Dinámica
25196	filtración directa	Filtración Directa
25197	filtración lenta	Filtración Lenta
25199	filtración previa	Filtración Gruesa|Filtración Previa|Prefiltración
25200	filtración rápida	Filtración Rápida
25201	filtros a presión	Filtros Cerrados|Filtros a Presión|filtros cerrados
25203	filtros aerobios	Filtros Aerobios
25204	filtros anaerobios	Filtros Anaerobios
25205	filtros ascendentes	Filtros Ascendentes
25206	filtros de arena	Filtros de Arena
25210	filtros dobles	Filtros de Doble Capa|filtros de doble capa
25211	filtros de lavado automático	Filtros de Lavado Automático
25213	filtros de mangas	Filtros de Manga
25214	filtración por membranas	Filtración por Membranas
25218	filtros dinámicos	Filtros Dinámicos
25220	filtros prensa	Filtros Prensa
25221	filtros radiales	Filtros Radiales|Filtros con Circulación Radial|filtros de circulación radial
25222	filtros rápidos	Filtros Rápidos
25223	filtros verticales	Filtros Verticales
25224	flóculo	Floc|Flóculo|Flóculos|floc|flóculos
25226	floculación ortocinética	Floculación Ortocinética
25228	floculadores	Floculadores
25230	floculadores de medios porosos	Floculadores de Medios Porosos
25232	floculadores helicoidales	Floculadores Helicoidales
25233	floculadores hidráulicos	Floculadores Hidráulicos
25234	floculadores mecánicos	Floculadores Mecánicos
25235	flora acuática	Flora Acuática|Plantas Acuáticas|Vegetación Acuática|plantas acuáticas|vegetación acuática
25236	flora béntica	Fitobentos|Flora Béntica|fitobentos
25237	flora marina	Flora Marina|Plantas Marinas|plantas marinas
25238	flotación	Flotación
25239	flujo crítico	Flujo Crítico
25243	flujo de variación gradual	Flujo Gradualmente Variado
25244	flujo no uniforme	Flujo Inestable
25245	flujo laminar	Flujo Laminar|Movimiento Laminar|Regimen Laminar
25246	flujo por gravedad	Flujo por Gravedad
25247	flujo turbulento	Flujo Turbulento|Movimiento Turbulento|Regimen Turbulento
25248	flujo uniforme	Flujo Uniforme
25253	contaminación puntual	Contaminación Puntual|Contaminación de Fuente Puntual|Contaminación de Fuentes Puntuales|Contaminación por Fuentes Fijas|Contaminación por Fuentes Puntuales|Contaminante Puntual|Contaminantes Puntuales|contaminación de fuente puntual|contaminación de fuentes puntuales|contaminación por fuentes fijas|contaminación por fuentes puntuales|contaminante puntual|contaminantes puntuales
25254	contaminación difusa	Contaminación Difusa|Contaminación de Fuente Difusa|Contaminación de Fuente No Puntual|Contaminación de Fuentes Difusas|Contaminación de Fuentes Móviles|Contaminación de Fuentes No Puntuales|Contaminación de Origen Difusa|Contaminación de Origen no Puntual|Contaminación por Fuente Difusa|Contaminación por Fuente Móvil|Contaminación por Fuente no Puntual|Contaminación por Fuentes Difusas|Contaminación por Fuentes Móviles|Contaminación por Fuentes no Puntuales|Contaminantes Difusos|Contaminantes Móviles|Contaminantes de Fuentes Difusas|Contaminantes de Fuentes Móviles|Contaminantes de Fuentes no Puntuales|Contaminantes por Fuentes Móviles|Polución Difusa|Polución de Fuentes Difusas|Polución de Fuentes no Puntuales|Polución por Fuentes no Puntuales|contaminacion de fuentes móviles|contaminación de fuente no puntual|contaminación de fuentes difusas|contaminación de fuentes no pontuales|contaminación de origen difusa|contaminación de origen móvil|contaminación de origen no puntual|contaminación por fuente no puntual|contaminación por fuentes difusas|contaminación por fuentes móviles|contaminación por fuentes no puntuales|contaminantes de fuentes difusas|contaminantes de fuentes móviles|contaminantes de fuentes no puntuales|contaminantes de origen difusa|contaminantes de origen no móvil|contaminantes de origen no puntual|contaminantes difusos|contaminantes móviles|contaminantes por fuentes móviles|polución de fuentes difusas|polución de fuentes no puntuales|polución difusa|polución por fuentes no puntuales
25258	fugas de agua	Agua no Contabilizada|Control de Fugas|Control de Pérdidas de Agua|Detección de Fugas|Fugas de Agua|Pérdida de Agua
25260	gases irritantes	Gases Irritantes
25262	golpe de ariete	Golpe de Ariete
25263	gradiente de velocidad	Gradiente de Velocidad
25264	gravas	Grava
25266	hidrantes	Bocas de Incendio|Bombas para Incendios|Hidrantes
25267	hidráulica de alcantarillas	Hidráulica de Alcantarillas
25268	hidrogeología	Geohidrología|Hidrogeología
25269	hidrografía	Hidrografía
25270	hidrogramas	Hidrograma|Hidrogramas
25271	hidrología	Hidrología
25272	hidrometeorología	Hidrometeorología
25274	hornos	Hornos
25279	incineradores	Camaras de Combustión|Incineradores|cámaras de combustión
25280	incineradores hospitalarios	Incineradores de Hospitales|incineradoras de hospital|incineradores de hospitales
25281	incineradores domésticos	Incineradores Domiciliarios|incineradoras domésticas|incineradores domiciliarios
25282	incremento del flujo	Incremento de Caudal en Estiaje
25283	indicadores de contaminación	Indicadores de Contaminación
25284	industria cervecera	Cervecerías|Industria Cervecera|Industria de la Cerveza|cerveceras|industria de la cerveza
25285	industria conservera	Industria Conservera|conserveras
25286	industria de aceites y grasas	Industria de Aceites y Grasas
25287	industria de bebidas gaseosas	Industria de Bebidas Gasificadas|industria de las bebidas gasificadas|industria de refrescos|sector de bebidas gaseosas
25288	industria de cal y yeso	Industria de Cal y Yeso
25289	industria de detergentes	Industria de Detergentes
25290	industria de explosivos	Industria de Explosivos|industria pirotécnica
25291	industria de fertilizantes	Industria de Fertilizantes
25292	industria de harinas de pescado	Industria de Harina de Pescado
